start_ip,end_ip,conn-speed,city-code,isp-name
0.0.0.0,0.0.0.255,mobile,0,?
0.0.1.0,0.255.255.255,mobile,1,asdf,
1.0.0.0,1.0.0.255,xdsl,2,vodafone
1.0.1.0,1.1.0.255,wireless,3,?
1.1.1.0,1.1.1.255,mobile,4,o2
1.1.2.0,1.2.2.255,mobile,5,?
1.2.3.0,1.2.3.255,mobile,5,?
1.2.4.0,1.3.255.255,mobile,2,?
1.4.0.0,1.4.0.255,mobile,5,?
1.4.1.0,1.8.255.255,mobile,3,?
5.44.144.0,5.44.147.255,broadband,15498,leaseweb b.v.
31.3.136.0,31.3.143.255,broadband,1706,morea conseils sarl
31.13.136.0,31.13.140.191,broadband,10985,digital telecommunication services
31.13.153.0,31.13.154.215,broadband,4782,epsilon telecommunications ltd
89.204.128.0,89.204.159.255,mobile,3324,o2 germany
84.254.128.0,84.254.128.44,satellite,11259,skylogic s.p.a.
